age,canton,situation_maritale,nombre_enfants,taux_occupation,salaire_mensuel,loyer_mensuel,depenses_vitales,depenses_loisirs,a_credit,montant_credit_mensuel,score_sante_financiere,santé_financière
63,JU,marié,2,80,5961,1464,1398,948,non,0,100,bonne
53,GE,célibataire,0,100,7601,3413,2215,1121,non,0,77,bonne
39,NW,divorcé,1,100,6312,2519,2251,1521,oui,1643,5,mauvaise
32,SG,marié,0,100,7669,3447,3665,2112,oui,2432,0,très_mauvaise
45,AG,célibataire,0,100,7593,2395,1812,1041,oui,1142,92,bonne
63,GR,marié,0,100,8098,2967,2624,1340,non,0,85,moyenne
43,ZH,marié,1,100,8723,4197,3813,2245,oui,1974,14,mauvaise
47,GE,marié,2,100,8320,4121,2842,1572,oui,1491,35,moyenne
35,NE,marié,0,100,8774,2875,2674,1859,non,0,85,moyenne
35,SZ,veuf,0,100,9683,5116,4370,2598,oui,3923,0,très_mauvaise
48,BE,marié,1,100,7254,2470,2023,1031,non,0,100,bonne
60,ZH,marié,2,100,9757,3890,2910,1527,non,0,89,bonne
64,NW,célibataire,0,100,7372,3536,3417,2416,oui,2312,0,très_mauvaise
48,SO,marié,1,100,7978,2099,2160,1086,non,0,100,bonne
27,SO,marié,0,100,5511,1441,1567,713,oui,789,88,bonne
46,GR,marié,0,80,5079,1917,2035,1400,non,0,50,mauvaise
26,SG,célibataire,0,100,6062,2566,2164,1566,oui,1298,10,mauvaise
48,BE,divorcé,1,100,9665,3305,2464,1111,non,0,100,bonne
54,NW,célibataire,0,100,7435,3172,2981,1801,oui,3102,0,très_mauvaise
62,NW,marié,1,100,7696,1435,1448,807,non,0,100,très_bonne
26,FR,marié,0,100,8057,2219,2717,1557,non,0,100,moyenne
45,VD,marié,0,100,7184,1682,1204,856,non,0,100,très_bonne
57,TI,marié,2,50,3992,1498,1280,581,oui,756,45,moyenne
36,LU,marié,2,100,6676,2558,2177,1668,oui,1506,28,mauvaise
46,BS,célibataire,0,80,7501,2989,2701,1499,oui,1015,37,moyenne
49,LU,marié,2,80,5601,1972,1546,981,oui,726,68,moyenne
51,SO,célibataire,0,100,7016,1690,1663,1011,non,0,100,bonne
52,BS,marié,2,100,7239,1911,1483,677,oui,382,100,très_bonne
40,GE,célibataire,0,100,10015,4006,3389,1349,non,0,86,bonne
39,UR,marié,2,50,3053,1189,1035,777,oui,698,20,mauvaise
27,GE,marié,0,50,4574,2071,1623,937,oui,722,15,moyenne
61,AI,marié,0,100,9040,4757,3178,2961,oui,3575,0,très_mauvaise
31,TG,marié,0,50,3189,1205,941,807,oui,843,5,mauvaise
45,GR,marié,3,100,7785,3403,2965,1982,non,0,34,mauvaise
33,UR,célibataire,0,100,6197,2978,2935,2056,oui,1891,0,très_mauvaise
63,VD,marié,2,100,9728,2759,1613,832,non,0,100,très_bonne
42,OW,marié,0,80,5658,2806,2631,1773,oui,1908,0,très_mauvaise
28,TI,célibataire,0,80,4625,1399,1442,593,non,0,96,bonne
49,AR,célibataire,1,100,8359,2185,2586,1353,oui,1392,80,moyenne
38,ZH,célibataire,1,100,7733,2948,2603,1038,non,0,92,bonne
33,LU,célibataire,0,50,4324,1144,1100,732,oui,510,83,bonne
50,SZ,marié,1,50,4252,1486,1040,524,oui,396,90,bonne
26,VD,célibataire,0,100,6819,2646,2361,1162,oui,1250,36,moyenne
44,SG,marié,2,100,7806,2248,2040,1228,oui,1237,92,bonne
52,SH,célibataire,0,100,9125,4256,3761,2987,oui,3069,0,très_mauvaise
31,ZG,célibataire,0,50,4778,2023,1665,683,oui,748,48,moyenne
32,LU,divorcé,1,100,5878,1176,1138,506,oui,183,100,très_bonne
59,JU,marié,0,100,7843,1297,1630,859,oui,267,100,très_bonne
38,BL,célibataire,0,80,7605,3792,3932,1802,oui,1933,0,très_mauvaise
41,LU,marié,2,100,7787,2564,2526,1654,oui,1527,50,moyenne
60,SO,célibataire,0,100,6974,2519,2731,1641,oui,1576,20,mauvaise
64,BE,célibataire,1,100,7127,1904,1700,865,oui,631,100,bonne
28,NE,célibataire,1,100,7511,1931,1931,854,oui,1156,99,bonne
26,AR,divorcé,0,80,4291,2281,1953,1451,oui,1675,0,très_mauvaise
30,BL,marié,3,100,6482,2281,1807,849,oui,518,87,bonne
28,AG,marié,0,100,7678,3261,2661,1508,oui,1511,30,mauvaise
53,VD,veuf,0,100,7100,1686,1622,758,oui,618,100,très_bonne
42,AI,divorcé,1,100,6617,1351,1097,765,oui,502,100,très_bonne
50,GR,marié,0,100,8037,3224,2673,1872,non,0,62,mauvaise
58,NW,marié,0,50,3485,1161,892,582,non,0,83,moyenne
34,BL,célibataire,1,100,8123,3764,3646,2249,non,0,34,mauvaise
60,UR,célibataire,0,80,6329,2787,2390,1812,oui,2652,0,très_mauvaise
38,ZG,marié,0,80,7299,1942,1839,603,oui,558,100,très_bonne
55,FR,marié,2,100,6729,2729,2027,1610,oui,1735,3,mauvaise
39,ZG,divorcé,2,50,5248,2172,1993,768,non,0,65,moyenne
32,NW,marié,0,80,6756,1549,1179,565,non,0,100,très_bonne
38,AR,marié,1,80,5147,2432,2038,1134,oui,2043,0,très_mauvaise
47,GL,marié,2,100,8425,2299,2344,1295,non,0,100,moyenne
64,AG,célibataire,1,80,7822,2661,2382,1542,oui,1093,73,moyenne
45,SO,marié,3,100,7015,1944,2049,1134,oui,691,88,bonne
40,SZ,marié,2,100,8102,2958,1975,1356,oui,1222,72,bonne
42,BE,marié,0,80,7311,2838,2604,1151,non,0,68,moyenne
48,FR,marié,1,100,8311,2536,2111,1120,non,0,100,bonne
50,AI,célibataire,0,80,5465,1217,927,451,non,0,100,très_bonne
49,VS,marié,2,100,8581,1923,2093,758,non,0,100,très_bonne
65,BL,marié,0,80,7007,2250,1924,997,oui,1314,78,moyenne
53,GL,marié,1,50,4171,1222,1095,589,oui,629,90,moyenne
39,ZG,marié,4,50,4273,1513,1511,584,oui,481,60,bonne
25,SO,célibataire,1,80,4972,1305,1121,547,non,0,100,bonne
49,SO,célibataire,0,100,7725,2195,2523,1200,non,0,100,moyenne
31,VS,célibataire,0,50,2985,1360,1158,699,non,0,32,très_mauvaise
33,JU,marié,0,80,4997,1776,1843,1059,oui,1280,5,mauvaise
48,AI,marié,0,80,5447,1567,1341,803,non,0,100,bonne
25,FR,divorcé,1,100,7908,2699,2348,1214,non,0,93,moyenne
32,NE,célibataire,0,100,6025,1945,1694,953,oui,522,76,bonne
48,BS,célibataire,0,80,7731,3383,2856,1602,non,0,44,moyenne
35,GE,marié,3,80,5844,3522,2290,1206,non,0,20,mauvaise
41,OW,marié,0,100,7884,3113,2942,2543,non,0,34,très_mauvaise
32,BS,marié,0,80,5868,2427,1940,999,non,0,66,moyenne
59,FR,marié,0,100,8305,3311,3020,2029,oui,1938,24,mauvaise
59,GR,marié,2,80,7473,1492,1704,718,oui,696,100,très_bonne
57,GR,célibataire,0,50,3881,1629,1547,1008,oui,953,2,mauvaise
29,UR,divorcé,2,100,7524,1995,1888,1272,oui,1382,82,moyenne
63,ZG,célibataire,1,100,10761,7393,4674,2334,oui,4305,0,très_mauvaise
65,NW,marié,4,100,9523,3992,3432,1925,oui,2609,3,mauvaise
